Diversity	LongTemp	CUETemp	Moisture	SampleID	DNAug.g_new	GROWTH	CumulativeRespiration	CUE	16S_simpson	16S_shannon	16S_inversedSimpson	16S_OUTs	16S_J	16S_PD
Bonly	15	15	60	88	19.45264763	0.627326455	0.728937564	46.25400707	0.663846229	1.579922131	2.974829045	23	0.503882968	2
Bonly	15	15	60	89	20.46554239	0.046472375	0.962322747	4.606720874	0.471272512	1.021853798	1.891333479	13	0.398391413	1
Bonly	15	15	60	90	16.95595039	0.126874953	0.539523503	19.03890267	0.274264493	0.562561938	1.377912463	7	0.289099648	1
Bonly	25	25	30	91	6.883419985	0.002108506	0.069370743	2.949815395	0.600742131	1.268179788	2.504646942	17	0.447611822	1
Bonly	25	25	30	92	12.95985769	0.002625801	0.211431289	1.226682467	0.540093109	0.972087693	2.174353158	12	0.391196866	1
Bonly	25	25	30	93	4.329829459	0.02672456	0.089665107	22.96128239	0.233201643	0.634090534	1.304123817	13	0.247213666	1
Bonly	25	25	30	94	8.647041123	0.011072795	0.651142503	NA	0.173478362	0.402920697	1.209889679	9	0.183377112	1
Bonly	25	25	30	95	-0.015683044	0.083942566	0.079517925	NA	0.320227302	0.854005988	1.471079969	41	0.229968874	4
Bonly	25	25	60	96	8.557138591	0.044553883	0.424522108	9.498222873	0.809572914	1.862719319	5.25135378	18	0.644456656	1
Bonly	25	25	60	97	18.76050085	0.091255721	1.009676262	8.28895173	0.60709338	1.255226575	2.545134008	11	0.52347014	2
Bonly	25	25	60	98	8.623529412	2.680351081	0.965705141	73.51370682	0.650568427	1.36314995	2.861790628	24	0.42892601	2
Bonly	25	25	60	99	9.683836682	0.413284079	1.216002293	25.3659569	0.615981973	1.161520479	2.604044416	15	0.428913939	1
Bonly	25	25	60	100	22.32724976	0.029458897	0.245255229	10.72347356	0.535576619	0.944550285	2.153207701	8	0.454232671	1
D0	15	15	30	101	2.500358675	0.640764154	0.833791776	43.45472021	0.617093871	1.346259578	2.611606146	31	0.392039777	3
D0	15	15	30	102	1.270301943	0.873811161	0.739084746	54.17653783	0.630891443	1.322746359	2.709230064	28	0.396958336	3
D0	15	15	30	103	1.288284773	0.398129752	0.74246714	34.90538638	0.764684666	1.827572091	4.249616818	34	0.518260138	4
D0	15	15	30	104	2.31771154	1.560910111	0.718790382	68.46996418	0.441121029	1.142088293	1.789296167	35	0.321231079	3
D0	15	15	30	105	2.04008863	2.459842366	1.53056493	61.64389204	0.784328152	2.088473338	4.636673765	48	0.539489769	4
D0	15	15	60	106	5.465371226	0.938717386	0.600406594	60.99036843	0.849551366	2.235064835	6.646786836	36	0.623706718	3
D0	15	15	60	107	4.897470553	0.57997286	0.441434078	56.78176235	0.848796504	2.327108815	6.613603717	43	0.618714438	3
D0	15	15	60	108	3.331083879	1.665922491	0.536141109	75.65278729	0.881308324	2.350338594	8.425190666	36	0.655874473	3
D0	25	15	60	109	4.384977216	0.876484813	0.796585443	52.38780679	0.737376082	2.069480884	3.807726298	69	0.488764485	7
D0	25	15	60	110	3.454557297	1.376704127	0.624083351	68.8081139	0.889378459	2.697197233	9.03983065	63	0.651003989	6
D0	25	25	30	111	1.863183492	0.480766407	0.363639017	56.93549488	0.897682152	2.506170322	9.773465875	30	0.736849421	2
D0	25	25	30	112	3.262389709	0.088957582	0.377168593	45.27	0.842481645	2.079408633	6.348466512	32	0.599990505	3
D0	25	25	30	113	1.00728587	0.255968757	0.542905897	32.04116643	0.822632858	2.078145379	5.638022856	36	0.57991751	2
D0	25	25	30	114	2.006940661	0.219216219	0.475258018	31.56578133	0.685574848	2.012816119	3.180407148	50	0.514520522	4
D0	25	25	30	115	2.733823779	1.056574739	0.688348836	60.55134757	0.836332531	2.507125939	6.109949666	76	0.578914872	6
D0	25	25	60	116	1.822627801	2.884198446	0.935263595	75.51321142	0.853625297	2.321574355	6.831781578	53	0.584736439	4
D0	25	25	60	117	2.658335562	3.013919241	0.908204443	76.84406417	0.916632403	2.932222247	11.99506803	57	0.72524983	3
D0	25	25	60	118	2.370907495	2.176210444	0.755996716	74.2174862	0.466173983	1.308459898	1.873269509	38	0.359705541	2
D0	25	25	60	119	1.390695929	4.237224398	1.141589626	78.77618336	0.916622502	3.047575478	11.99364364	68	0.722258541	5
D0	25	25	60	120	3.201654509	2.833069194	1.270120596	69.04553138	0.836985905	2.534435534	6.13443885	78	0.581731677	6
D1	15	15	30	121	-0.027150065	-30.66054753	0.5970242	NA	0.708747837	1.562864664	3.4334509	8	0.751579034	1
D1	15	15	30	122	1.686336996	1.224511532	0.438051684	73.65202839	0.154048409	0.390679514	1.182100739	6	0.218042388	1
D1	15	15	30	123	1.782613965	0.309070892	0.482022805	39.06880982	0.565528199	0.984956334	2.301645351	7	0.506167427	1
D1	15	15	30	124	10.87701001	0.082235804	0.458346048	15.21246106	0.744745522	1.899592226	3.917658982	14	0.71979953	2
D1	15	15	30	125	2.521298848	0.725801796	0.661289685	52.32544543	0.306701419	0.789273018	1.44237999	11	0.329152414	1
D1	15	15	60	126	1.597650658	0.052524366	0.471875624	10.01608833	0.605777956	1.335105717	2.536641506	12	0.537286065	2
D1	15	15	60	127	9.325306863	0.259713648	0.336579866	43.55466594	0.062882584	0.174409427	1.06710214	6	0.097339755	1
D1	15	15	60	128	8.604098062	0.201206784	0.275696774	42.19024594	0.424990832	0.65667134	1.739102706	10	0.28518874	1
D1	15	15	60	129	1.601859591	0.377168382	0.488787593	43.55514518	0.77781059	1.756286062	4.500664555	23	0.560130538	2
D1	15	15	60	130	20.56664869	0.406275071	0.718790382	36.1112387	0.71285548	1.423775697	3.482566894	13	0.555089204	2
D1	25	25	30	131	0.148193365	1.580672294	1.080706535	59.39298369	0.050269254	0.148161789	1.052930006	8	0.07125076	1
D1	25	25	30	132	7.918777645	0.157423895	0.69173123	18.53888532	0.03728947	0.107599696	1.038733835	7	0.055295306	1
D1	25	25	30	133	0.534671864	7.039104538	0.921734019	88.42164663	0.549191052	1.018010461	2.218234584	14	0.385747763	2
D1	25	25	30	134	5.880373801	0.839052503	0.688348836	54.93333556	0.748005692	1.59894129	3.968343607	11	0.66681031	1
D1	25	25	30	135	5.986122556	0.513642113	0.630848139	44.87955332	0.170584486	0.427125459	1.205668308	10	0.18549823	2
D1	25	25	60	136	1.812207136	0.044311163	0.722172776	5.781094798	0.741362322	1.569601789	3.866412695	11	0.654574787	1
D1	25	25	60	137	13.2680311	0.024414478	0.218196077	10.06323806	0.296536461	0.64489622	1.421537784	9	0.293504918	1
D1	25	25	60	138	5.303771395	0.099226199	0.164077774	37.68503678	0.192887584	0.476308425	1.238984781	12	0.191680611	1
D1	25	25	60	139	5.959727034	0.464080341	1.334386081	25.80422606	0.741781683	1.633942506	3.87269196	15	0.603364925	2
D1	25	25	60	140	19.26830105	0.184817149	0.624083351	22.84794594	0.242738485	0.656936009	1.320547764	20	0.219290627	2
D2	15	15	30	141	4.753314083	0.021312893	1.889098689	NA	0.713957759	1.409671518	3.495987159	5	0.87587816	1
D2	15	15	30	142	1.397513226	0.682009361	0.427904502	61.44705311	0.287908163	0.694204907	1.404313248	7	0.356750751	1
D2	15	15	30	143	NA	0	0.008487652	NA	NA	NA	NA	NA	NA	NA
D2	15	15	30	144	1.382301072	0.016781539	0.062605955	21.13876874	NA	NA	NA	NA	NA	NA
D2	15	15	30	145	0.04581573	0	0.03216441	NA	0.25171665	0.427377761	1.336392156	4	0.308287888	1
D2	15	15	60	146	NA	0	0.005105258	NA	NA	NA	NA	NA	NA	NA
D2	15	15	60	147	10.25695694	0.036999606	0.262167199	12.36755064	0.158093028	0.30404273	1.187779687	6	0.169689478	1
D2	15	15	60	148	3.149425287	0.012310191	0.238490441	4.908357178	0.595605392	1.336730588	2.472832177	15	0.493613666	1
D2	15	15	60	149	9.993370938	0.282793229	0.424522108	39.9812098	0.369967578	0.59909958	1.587219903	8	0.288105998	1
D2	15	15	60	150	0.116369334	0	0.01525244	NA	0.053945368	0.161802143	1.057021408	9	0.073639329	1
D2	25	25	30	151	1.505461836	0.396381919	0.816879807	32.67076759	0.279196897	0.679421408	1.38734142	18	0.235063675	2
D2	25	25	30	152	1.447497593	0.38040165	0.823644595	31.59360794	0.555561219	0.985116586	2.250028674	7	0.506249781	1
D2	25	25	30	153	0.500405541	0	0.752614322	NA	0.717646413	1.57580862	3.541658569	11	0.657163237	1
D2	25	25	30	154	0.685233009	0.304157713	1.036735414	22.68321816	0.850140321	2.121655401	6.672909007	11	0.884799026	1
D2	25	25	30	155	1.394133166	0.006267357	3.526177362	0.177422648	NA	NA	NA	NA	NA	NA
D2	25	25	60	156	1.093427538	4.899092657	1.27350299	79.36843651	0.578225462	0.993183763	2.370934969	14	0.376340352	2
D2	25	25	60	157	2.916457437	1.883977454	1.41894593	57.0396959	0.00225261	0.010157374	1.002257696	5	0.006311132	1
D2	25	25	60	158	3.427017936	3.403014306	1.009676262	77.11880662	0.508260366	0.849104878	2.033596502	11	0.354104238	1
D2	25	25	60	159	21.59778627	0.079960179	0.19451932	29.131567	0.641353811	1.143832454	2.788263283	6	0.638385048	1
D2	25	25	60	160	0.875120155	0.654647557	1.253208626	34.31325499	0.207549858	0.545379545	1.261909042	13	0.212627803	2
SF	15	15	60	167	0.320792014	0.108755826	0.410992532	20.924708	0.651110134	1.514804933	2.866234014	20	0.505654309	2
SF	15	15	60	168	5.055195991	0.301463057	0.157312986	65.71028752	0.597048363	1.48317164	2.481687401	75	0.343526514	NA
SF	25	25	30	171	5.088313409	1.002256942	0.559817866	64.1619042	0.597911973	1.449863133	2.487017602	18	0.501618219	1
SF	25	25	30	172	0.893080666	0.072010741	0.211431289	67.48777877	0.774495368	1.985841977	4.434498711	27	0.602530422	1
SF	25	25	30	173	0.181938411	0.019132612	1.11114808	34.38901946	0.699897187	1.536374081	3.332191362	22	0.497040757	1
SF	25	25	30	174	5.537826519	1.258458854	0.651142503	65.90165268	0.601285143	1.381966444	2.508058033	19	0.469347965	1
